size,order,algorithm,time
50,RANDOM,BubbleSortPassPerItem,13447
50,RANDOM,BubbleSortPassPerItem,13019
50,RANDOM,BubbleSortPassPerItem,13629
50,RANDOM,BubbleSortPassPerItem,13803
50,RANDOM,BubbleSortPassPerItem,13077
50,RANDOM,BubbleSortPassPerItem,13638
50,RANDOM,BubbleSortPassPerItem,13912
50,RANDOM,BubbleSortPassPerItem,13613
50,RANDOM,BubbleSortPassPerItem,12875
50,RANDOM,BubbleSortPassPerItem,13756
50,RANDOM,BubbleSortPassPerItem,14283
50,RANDOM,BubbleSortPassPerItem,12869
50,RANDOM,BubbleSortPassPerItem,13265
50,RANDOM,BubbleSortPassPerItem,13518
50,RANDOM,BubbleSortPassPerItem,14097
50,RANDOM,BubbleSortPassPerItem,13657
50,RANDOM,BubbleSortPassPerItem,13458
50,RANDOM,BubbleSortPassPerItem,13429
50,RANDOM,BubbleSortPassPerItem,13165
50,RANDOM,BubbleSortPassPerItem,14088
50,RANDOM,BubbleSortPassPerItem,14211
50,RANDOM,BubbleSortPassPerItem,13069
50,RANDOM,BubbleSortPassPerItem,14393
50,RANDOM,BubbleSortPassPerItem,13891
50,RANDOM,BubbleSortPassPerItem,13900
50,RANDOM,BubbleSortPassPerItem,14024
50,RANDOM,BubbleSortPassPerItem,13575
50,RANDOM,BubbleSortPassPerItem,13619
50,RANDOM,BubbleSortPassPerItem,13440
50,RANDOM,BubbleSortPassPerItem,12854
50,RANDOM,BubbleSortPassPerItem,13633
50,RANDOM,BubbleSortPassPerItem,13660
50,RANDOM,BubbleSortPassPerItem,14233
50,RANDOM,BubbleSortPassPerItem,13075
50,RANDOM,BubbleSortPassPerItem,13700
50,RANDOM,BubbleSortPassPerItem,13501
50,RANDOM,BubbleSortPassPerItem,12831
50,RANDOM,BubbleSortPassPerItem,13730
50,RANDOM,BubbleSortPassPerItem,13469
50,RANDOM,BubbleSortPassPerItem,14122
50,RANDOM,BubbleSortPassPerItem,13772
50,RANDOM,BubbleSortPassPerItem,13713
50,RANDOM,BubbleSortPassPerItem,13025
50,RANDOM,BubbleSortPassPerItem,13994
50,RANDOM,BubbleSortPassPerItem,13662
50,RANDOM,BubbleSortPassPerItem,13482
